Date,Open,High,Low,Close,Volume
2019-04-05,48.0,48.2,45.75,46.15,14321500
2019-04-08,45.74,46.0,43.85,45.09,1364000
2019-04-09,45.21,46.2,44.0,45.24,674500
2019-04-10,45.35,45.67,42.98,43.11,252500
2019-04-11,41.75,45.23,41.75,44.78,460000
2019-04-12,44.99,46.3,44.64,46.06,1000000
2019-04-15,45.21,46.48,45.01,45.6,347000
2019-04-16,46.21,46.21,44.51,45.01,238000
2019-04-17,45.0,45.1,43.06,43.79,143500
2019-04-18,43.8,45.7,43.8,45.19,166500
2019-04-19,45.29,46.99,45.21,46.47,579000
2019-04-22,46.4,46.4,45.4,45.58,322500
2019-04-23,45.6,46.49,43.31,44.32,983500
2019-04-24,44.25,46.0,44.01,45.67,282000
2019-04-25,45.11,46.1,45.11,45.95,83500
2019-04-26,45.5,46.0,45.0,45.68,193500
2019-04-29,45.36,45.63,44.5,44.58,181000
2019-04-30,44.0,44.34,43.65,44.04,78500
2019-05-02,44.0,44.08,43.21,43.86,40500
2019-05-03,43.41,43.6,42.86,42.96,32500
2019-05-06,43.07,43.91,41.0,41.25,266500
2019-05-07,40.0,42.95,40.0,42.83,241000
2019-05-08,41.75,42.78,41.55,42.06,122500
2019-05-09,42.01,42.45,41.11,42.2,224500
2019-05-10,42.45,42.5,41.3,41.86,71500
2019-05-13,42.31,42.89,39.77,39.84,1315000
2019-05-14,39.6,41.83,39.6,40.95,586000
2019-05-15,41.05,42.99,41.0,42.66,155000
2019-05-16,42.35,42.4,40.53,41.3,306500
2019-05-17,41.3,41.3,39.3,40.04,241000
2019-05-20,39.0,42.0,38.06,41.11,1105500
2019-05-21,40.5,41.94,40.0,41.0,205500
2019-05-22,41.25,43.05,41.01,43.03,423500
2019-05-23,43.4,44.5,43.1,43.5,253500
2019-05-24,43.0,44.0,42.01,43.66,122000
2019-05-27,43.99,43.99,42.51,43.33,111500
2019-05-28,42.5,42.5,41.17,41.19,207500
2019-05-29,41.82,42.99,41.2,42.27,487000
2019-05-30,42.5,44.0,41.24,42.76,233500
2019-06-03,42.25,42.25,41.67,41.85,44000
2019-06-10,40.45,41.65,40.0,41.52,115500
2019-06-11,40.01,42.5,40.0,41.82,78000
2019-06-12,41.99,43.4,41.0,42.61,121500
2019-06-13,43.35,44.0,42.65,43.61,1787000
2019-06-14,44.0,45.79,42.4,44.91,550000
2019-06-17,45.0,45.0,43.51,44.2,88000
2019-06-18,43.21,44.99,41.99,43.24,436500
2019-06-19,43.15,43.65,43.0,43.4,87500
2019-06-20,43.99,43.99,43.2,43.47,200000
2019-06-21,43.49,43.75,43.0,43.36,79000
2019-06-24,43.25,43.25,41.4,41.85,29500
2019-06-25,41.02,42.8,41.0,42.07,41500
2019-06-26,41.55,42.8,40.52,42.5,128000
2019-06-27,42.7,43.0,41.0,42.48,251500
2019-06-28,41.75,44.6,41.45,44.27,587500
2019-07-01,43.76,44.0,43.7,43.73,29500
2019-07-02,43.31,43.9,43.3,43.67,62500
2019-07-03,43.02,44.0,43.0,43.91,96000
2019-07-04,44.4,44.48,43.35,43.76,56000
2019-07-05,43.27,45.49,42.85,44.34,62500
2019-07-08,44.8,44.8,42.73,42.94,480000
2019-07-09,43.05,43.8,43.05,43.13,119000
2019-07-10,43.3,43.5,43.0,43.1,207000
2019-07-11,43.8,43.8,42.55,43.29,30500
2019-07-12,42.7,43.47,42.4,42.87,66500
2019-07-15,42.4,42.49,41.84,42.29,26500
2019-07-16,41.95,42.5,41.22,42.45,37500
2019-07-17,42.25,42.95,42.0,42.54,92000
2019-07-18,42.0,42.0,41.0,41.28,15500
2019-07-19,41.1,41.5,39.75,41.05,535500
2019-07-22,40.55,41.95,40.35,41.62,55500
2019-07-23,41.5,41.89,41.0,41.32,20000
2019-07-24,40.56,40.9,39.26,39.87,157000
2019-07-25,39.17,40.39,39.17,39.85,35000
2019-07-26,39.27,40.95,39.1,40.74,62500
2019-07-29,41.01,41.01,39.86,40.43,17000
2019-07-30,39.51,40.99,39.4,40.53,85500
2019-07-31,39.31,40.45,39.31,40.0,547500
2019-08-01,39.97,40.0,39.97,39.99,23000
2019-08-02,39.94,40.0,39.5,39.89,9000
2019-08-05,38.67,39.0,38.6,38.73,37500
2019-08-06,38.9,39.0,38.05,38.52,27500
2019-08-07,38.3,40.44,36.77,38.88,391000
2019-08-08,37.81,39.0,37.75,38.94,48500
2019-08-09,38.99,39.99,38.4,39.46,79500
2019-08-16,38.85,39.0,38.3,38.59,21000
2019-08-19,38.67,39.5,38.63,39.0,66500
2019-08-20,39.0,40.15,39.0,39.98,160000
2019-08-21,39.98,40.4,39.5,40.2,50500
2019-08-22,40.24,41.8,40.15,41.73,97000
2019-08-23,41.9,42.3,40.1,40.88,78000
2019-08-26,40.01,40.88,39.5,40.55,38500
2019-08-27,39.9,40.75,39.9,40.05,264000
2019-08-28,40.0,40.06,38.75,39.04,307500
2019-08-29,38.53,39.02,38.52,38.65,7500
2019-08-30,38.64,40.58,37.6,39.92,486500
2019-09-02,39.53,40.49,38.67,39.95,1003500
